"Fecha.de.la.actividad","Tipo.de.actividad","Tiempo.transcurrido","Distancia","Ritmo.cardiaco.máximo","Esfuerzo.Relativo","Equipamiento.de.la.actividad","Tiempo.en.movimiento","Velocidad.máxima","Velocidad.promedio","Desnivel.positivo","Pendiente.máxima","Pendiente.promedio","Cadencia.máx.","Cadencia.promedio","Ritmo.cardiaco.promedio","Calorías","Tiempo.de.descanso"
2015-08-02,"Bicicleta",4H 29M 55S,61.81,171,NA,"Orbea Satellite",3H 19M 57S,41.760001373291,18.5476369092273,605.92333984375,21.5,0.303488671779633,NA,NA,139,1766,1H 9M 58S
2015-10-03,"Bicicleta",3H 12M 41S,87.97,171,NA,"Giant TCR Composite 2",3H 0M 40S,71.639998626709,29.2151291512915,776.816650390625,13.1999998092651,-0.0156856682151556,NA,NA,139,2318,12M 1S
2016-02-21,"Bicicleta",2H 43M 0S,66.88,171,NA,"Giant TCR Composite 2",2H 30M 9S,64.8,26.7252747252747,586.47998046875,10.3000001907349,0.0001495134783908,NA,NA,139,1738,12M 51S
2015-07-19,"Bicicleta",3H 23M 23S,101.08,171,NA,"Giant TCR Composite 2",3H 12M 18S,60.479997253418,31.5382215288612,510.239990234375,11.1000003814697,-0.01266286149621,NA,NA,139,2783,11M 5S
2015-09-13,"Bicicleta",3H 19M 32S,94.41,171,NA,"Giant TCR Composite 2",3H 11M 36S,70.920002746582,29.5647181628392,670.820007324219,8.89999961853027,-0.0141924349591135,NA,NA,139,2506,7M 56S
2016-10-16,"Bicicleta",3H 19M 24S,88.08,171,NA,"Giant TCR Composite 2",2H 56M 57S,66.960001373291,29.8660638598474,473.510009765625,9.39999961853027,0,NA,NA,139,2383,22M 27S
2015-06-07,"Bicicleta",3H 43M 44S,92.67,171,NA,"Giant TCR Composite 2",3H 12M 39S,72,28.8616662341033,913.817504882812,10.1000003814697,-0.0152149843052029,NA,NA,139,2447,31M 5S
2015-07-05,"Bicicleta",3H 27M 56S,90.43,171,NA,"Giant TCR Composite 2",3H 11M 10S,64.439998626709,28.3825632083697,887.200012207031,13.1999998092651,-0.0141537021845579,NA,NA,139,2370,16M 46S
2015-07-12,"Bicicleta",4H 21M 37S,116.95,171,NA,"Giant TCR Composite 2",4H 9M 19S,61.560001373291,28.1449294738953,861.190002441406,9.80000019073486,-0.0113724786788225,NA,NA,139,3053,12M 18S
2015-09-06,"Bicicleta",2H 50M 22S,64.86,171,NA,"Giant TCR Composite 2",2H 23M 45S,60.479997253418,27.072,589.039978027344,10.8000001907349,-0.0201954171061515,NA,NA,139,1680,26M 37S
2014-10-26,"Bicicleta",2H 58M 51S,95.0350562777494,171,NA,"Giant TCR Composite 2",2H 58M 51S,0,31.8820429223649,722.558593865123,0,0,NA,NA,139,239,0S
2014-10-19,"Bicicleta",3H 23M 58S,108.381233689973,171,NA,"Giant TCR Composite 2",3H 23M 58S,0,31.8820429223649,824.030572334486,0,0,NA,NA,139,272,0S
2014-04-19,"Bicicleta",3H 50M 29S,75.82,171,NA,"Giant TCR Composite 2",3H 28M 1S,45.7199993133545,21.8694014902652,209.891662597656,10.5,0.0005275270086713,NA,NA,139,1792,22M 28S
2015-04-02,"Bicicleta",2H 0M 11S,45.58,171,NA,"Giant TCR Composite 2",1H 49M 47S,44.2800006866455,24.9108850766662,83.4499969482422,4,0,NA,NA,139,1166,10M 24S
2014-05-04,"Bicicleta",4H 19M 38S,114.11,171,NA,"Giant TCR Composite 2",4H 6M 8S,63.360001373291,27.816630552546,1184.23999023438,9.69999980926514,-0.0135827893391251,NA,NA,139,2965,13M 30S
2015-04-01,"Bicicleta",2H 2M 37S,49.25,171,NA,"Giant TCR Composite 2",1H 59M 28S,45.360001373291,24.7349330357143,86.8399963378906,3.20000004768372,0.0014212996466085,NA,NA,139,1259,3M 9S
2014-06-29,"Bicicleta",4H 27M 35S,115.03,171,NA,"Giant TCR Composite 2",3H 55M 27S,75.239998626709,29.3132299851348,1060.85998535156,10.5,-0.0130399633198976,NA,NA,139,3021,32M 8S
2015-03-01,"Bicicleta",3H 39M 39S,88.36,171,NA,"Giant TCR Composite 2",3H 11M 44S,59.760001373291,27.6509040333797,781.719970703125,13.3000001907349,0.0001131714598159,NA,NA,139,2309,27M 55S
2014-10-12,"Bicicleta",3H 10M 51S,80.82,171,NA,"Giant TCR Composite 2",2H 49M 23S,66.239998626709,28.6285545606612,607.140014648438,9.5,-0.016950998455286,NA,NA,139,2086,21M 28S
2015-02-15,"Bicicleta",3H 25M 16S,77.29,171,NA,"Giant TCR Composite 2",2H 45M 24S,60.479997253418,28.037484885127,329.122863769531,5.69999980926514,-0.0005174811813049,NA,NA,139,2001,39M 52S
2014-10-05,"Bicicleta",2H 10M 18S,59.58,171,NA,"Giant TCR Composite 2",2H 1M 45S,60.120002746582,29.3618069815195,372.126678466797,11.1999998092651,0.186790406703949,NA,NA,139,2634,8M 33S
2015-02-22,"Bicicleta",3H 16M 36S,83.31,171,NA,"Giant TCR Composite 2",2H 47M 13S,57.960001373291,29.8929532542609,467.745727539062,11.1000003814697,0,NA,NA,139,2185,29M 23S
2015-05-24,"Bicicleta",3H 57M 33S,98.59,171,NA,"Giant TCR Composite 2",3H 25M 36S,65.879997253418,28.7714007782101,746.483337402344,11.1999998092651,-0.0144027769565582,NA,NA,139,2553,31M 57S
2015-04-19,"Bicicleta",3H 43M 56S,100.03,171,NA,"Giant TCR Composite 2",3H 28M 27S,53.639998626709,28.7925161909331,758.5,10.1000003814697,-0.0140949254855513,NA,NA,139,2639,15M 29S
2015-03-29,"Bicicleta",3H 31M 27S,98.56,171,NA,"Giant TCR Composite 2",3H 19M 18S,56.8800006866455,29.6718514801806,457.586669921875,11,-0.0130874784663319,NA,NA,139,2662,12M 9S
2015-06-04,"Bicicleta",4H 13M 42S,113.6,171,NA,"Giant TCR Composite 2",3H 55M 0S,62.279997253418,29.0042553191489,874.619995117188,11.8000001907349,-0.0112673081457614,NA,NA,139,3005,18M 42S
2015-04-12,"Bicicleta",3H 30M 33S,95.25,171,NA,"Giant TCR Composite 2",3H 18M 34S,52.560001373291,28.7812657377875,825.145690917969,10.1000003814697,-0.0144868660718202,NA,NA,139,2494,11M 59S
2015-05-10,"Bicicleta",4H 40M 5S,124.7,171,NA,"Giant TCR Composite 2",4H 23M 58S,67.320002746582,28.3444879403965,817.119995117188,10.6000003814697,-0.0102647170424461,NA,NA,139,3288,16M 7S
2014-05-11,"Bicicleta",4H 10M 49S,124.43,171,NA,"Giant TCR Composite 2",4H 0M 15S,71.279997253418,31.0751300728408,918.386657714844,9.39999961853027,-0.0119739305227994,NA,NA,139,3435,10M 34S
2014-07-06,"Bicicleta",5H 20M 15S,125.25,171,NA,"Giant TCR Composite 2",4H 52M 0S,63,25.736301369863,1334.59997558594,9.39999961853027,-0.0104584135115146,NA,NA,139,3200,28M 15S
2018-03-29,"Bicicleta",1H 10M 10S,24.59,171,NA,"Giant TCR Composite 2",1H 7M 28S,44.639998626709,21.8685770750988,50.6593322753906,5.69999980926514,-0.0004065949760843,NA,NA,139,589,2M 42S
2018-02-11,"Bicicleta",2H 19M 26S,48.91,171,NA,"Giant TCR Composite 2",1H 59M 23S,55.8,24.5813206756945,472.443878173828,10.3000001907349,0.233045905828476,NA,NA,139,1192,20M 3S
2019-08-13,"Entrenamiento con pesas",1H 22M 58S,0,116,7,"",1H 22M 58S,0,0,NA,0,0,NA,NA,80,157,0S
2019-08-13,"Bicicleta virtual",1H 10M 0S,37.6700031585381,131,13,"Giant TCR Composite 2",1H 10M 0S,0,32.2885741358898,NA,0,0,NA,NA,120,424,0S
2019-08-14,"Entrenamiento con pesas",1H 13M 26S,0,121,7,"",1H 13M 26S,0,0,NA,0,0,NA,NA,84,169,0S
2019-08-15,"Entrenamiento con pesas",1H 16M 24S,0,108,6,"",1H 16M 24S,0,0,NA,0,0,NA,NA,78,134,0S
2019-08-16,"Entrenamiento con pesas",1H 16M 20S,0,123,9,"",1H 16M 20S,0,0,NA,0,0,NA,NA,94,239,0S
2019-08-16,"Bicicleta virtual",1H 10M 1S,37.6789722069091,138,15,"Giant TCR Composite 2",1H 10M 1S,0,32.2885741358898,NA,0,0,NA,NA,125,472,0S
2019-08-17,"Entrenamiento con pesas",1H 18M 53S,0,109,6,"",1H 18M 53S,0,0,NA,0,0,NA,NA,78,143,0S
2019-08-18,"Bicicleta",3H 36M 53S,94.12,179,139,"Giant TCR Composite 2",3H 1M 41S,67.320002746582,31.0826529676177,695,28.6000003814697,-0.0195494275540113,NA,NA,144,1594,35M 12S
2019-08-20,"Entrenamiento con pesas",1H 36M 29S,0,129,10,"",1H 36M 29S,0,0,NA,0,0,NA,NA,90,268,0S
2019-08-20,"Bicicleta virtual",1H 10M 1S,37.6789722069091,130,13,"Giant TCR Composite 2",1H 10M 1S,0,32.2885741358898,NA,0,0,NA,NA,119,417,0S
2019-08-21,"Entrenamiento con pesas",1H 36M 52S,0,120,8,"",1H 36M 52S,0,0,NA,0,0,NA,NA,80,202,0S
2019-08-22,"Entrenamiento con pesas",1H 35M 40S,0,118,9,"",1H 35M 40S,0,0,NA,0,0,NA,NA,84,216,0S
2019-08-23,"Entrenamiento con pesas",1H 21M 37S,0,112,6,"",1H 21M 37S,0,0,NA,0,0,NA,NA,76,131,0S
2019-08-24,"Entrenamiento con pesas",1H 24M 37S,0,114,8,"",1H 24M 37S,0,0,NA,0,0,NA,NA,84,206,0S
2019-08-25,"Bicicleta",3H 12M 33S,82.86,187,119,"Giant TCR Composite 2",2H 42M 38S,64.439998626709,30.5693789711006,752,10.5,-0.0082063563168048,NA,NA,144,1476,29M 55S
2019-08-27,"Entrenamiento con pesas",1H 45M 21S,0,114,7,"",1H 45M 21S,0,0,NA,0,0,NA,NA,72,152,0S
2019-08-28,"Entrenamiento con pesas",1H 19M 6S,0,110,6,"",1H 19M 6S,0,0,NA,0,0,NA,NA,80,168,0S
