"Fecha.de.la.actividad","Tipo.de.actividad","Tiempo.transcurrido","Distancia","Ritmo.cardiaco.máximo","Esfuerzo.Relativo","Equipamiento.de.la.actividad","Tiempo.en.movimiento","Velocidad.máxima","Velocidad.promedio","Desnivel.positivo","Pendiente.máxima","Pendiente.promedio","Cadencia.máx.","Cadencia.promedio","Ritmo.cardiaco.promedio","Vatios.máx.","Vatios.promedio","Calorías"
2019-07-30,"Bicicleta",8515,62.52,170,107,"Orbea Satellite",8390,39.960001373291,NA,156,45.5999984741211,0,NA,NA,146,NA,NA,1521
2019-08-01,"Bicicleta",8775,62.75,168,104,"Orbea Satellite",8603,39.6,NA,148,48.5,0.0019123079255223,NA,NA,145,NA,NA,1533
2019-08-04,"Bicicleta",7784,57.93,174,111,"Orbea Satellite",7750,41.760001373291,NA,144,21.2999992370605,0.006559029687196,NA,NA,148,NA,NA,1180
2019-08-07,"Bicicleta",8513,62.64,171,97,"Orbea Satellite",8435,42.839998626709,NA,148,20.7000007629395,-0.0070241424255073,NA,NA,143,NA,NA,1169
2019-08-09,"Bicicleta",8791,63.5,174,88,"Orbea Satellite",8724,47.160001373291,NA,165,17.1000003814697,0.0050391559489071,NA,NA,142,NA,NA,1189
2019-08-11,"Entrenamiento con pesas",7169,0,124,10,"",7169,0,0,NA,0,0,NA,NA,80,NA,NA,240
2019-08-12,"Entrenamiento con pesas",4163,0,118,6,"",4163,0,0,NA,0,0,NA,NA,80,NA,NA,138
2019-08-12,"Bicicleta virtual",4201,0,129,13,"Giant TCR Composite 2",4201,0,NA,NA,0,0,NA,NA,116,NA,NA,403
2015-06-06,"Bicicleta",11023,52.31,170,NA,"Giant TCR Composite 2",7100,51.4800006866455,NA,364.714294433594,5.69999980926514,-0.0007646662998013,NA,NA,140,NA,NA,1356
2015-08-16,"Bicicleta",3698,14.03,170,NA,"Giant TCR Composite 2",3406,25.9199993133545,NA,740.719970703125,16.8999996185303,5.1770339012146,NA,NA,140,NA,188.709884643555,332
2015-09-12,"Bicicleta",7433,37.79,170,NA,"Giant TCR Composite 2",5692,54,NA,244.918563842773,6.19999980926514,0,NA,NA,140,NA,NA,960
2016-07-24,"Bicicleta",2902,14.33,170,NA,"Orbea Satellite",2383,31.3199993133545,NA,35.5999984741211,4.5,0.184237897396088,NA,NA,140,NA,NA,338
2016-08-03,"Bicicleta",6064,38.34,170,NA,"Giant TCR Composite 2",5588,51.1199993133545,NA,251.638336181641,6.19999980926514,-0.0013038727920502,NA,NA,140,NA,NA,987
2015-10-10,"Bicicleta",5796,36.46,170,NA,"Giant TCR Composite 2",5250,49.6800006866455,NA,242.335830688477,7.30000019073486,-0.0010968550341203,NA,NA,140,NA,NA,937
2015-06-28,"Bicicleta",16152,67.11,170,NA,"Orbea Satellite",12327,41.039998626709,NA,653.510009765625,17.2000007629395,0.288618981838226,NA,NA,140,NA,NA,1775
2015-09-05,"Bicicleta",12598,95.48,170,NA,"Giant TCR Composite 2",11553,61.560001373291,NA,835.840026855469,14.8000001907349,-0.013405317440629,NA,NA,140,NA,NA,2536
2015-08-30,"Bicicleta",15041,98.04,170,NA,"Giant TCR Composite 2",13920,61.920002746582,NA,1030.07995605469,24,-0.0130555760115385,NA,NA,140,NA,NA,2519
2015-09-20,"Bicicleta",12555,90.95,170,NA,"Giant TCR Composite 2",11967,73.8,NA,838.753356933594,8.89999961853027,-0.0148430922999978,NA,NA,140,NA,NA,2372
2016-10-02,"Bicicleta",11522,81.24,170,NA,"Giant TCR Composite 2",11387,64.079997253418,NA,603.830017089844,9.69999980926514,0.0027079288847744,NA,NA,140,NA,NA,2104
2015-09-19,"Bicicleta",11275,84.68,170,NA,"Giant TCR Composite 2",10017,62.279997253418,NA,447.459991455078,9.5,-0.0165322441607713,NA,NA,140,NA,NA,2318
2015-08-02,"Bicicleta",16195,61.81,170,NA,"Orbea Satellite",11997,41.760001373291,NA,605.92333984375,21.5,0.303488671779633,NA,NA,140,NA,NA,1766
2015-10-03,"Bicicleta",11561,87.97,170,NA,"Giant TCR Composite 2",10840,71.639998626709,NA,776.816650390625,13.1999998092651,-0.0156856682151556,NA,NA,140,NA,NA,2318
2016-02-21,"Bicicleta",9780,66.88,170,NA,"Giant TCR Composite 2",9009,64.8,NA,586.47998046875,10.3000001907349,0.0001495134783908,NA,NA,140,NA,NA,1738
2015-07-19,"Bicicleta",12203,101.08,170,NA,"Giant TCR Composite 2",11538,60.479997253418,NA,510.239990234375,11.1000003814697,-0.01266286149621,NA,NA,140,NA,NA,2783
2015-09-13,"Bicicleta",11972,94.41,170,NA,"Giant TCR Composite 2",11496,70.920002746582,NA,670.820007324219,8.89999961853027,-0.0141924349591135,NA,NA,140,NA,NA,2506
2016-10-16,"Bicicleta",11964,88.08,170,NA,"Giant TCR Composite 2",10617,66.960001373291,NA,473.510009765625,9.39999961853027,0,NA,NA,140,NA,NA,2383
2015-06-07,"Bicicleta",13424,92.67,170,NA,"Giant TCR Composite 2",11559,72,NA,913.817504882812,10.1000003814697,-0.0152149843052029,NA,NA,140,NA,NA,2447
2015-07-05,"Bicicleta",12476,90.43,170,NA,"Giant TCR Composite 2",11470,64.439998626709,NA,887.200012207031,13.1999998092651,-0.0141537021845579,NA,NA,140,NA,NA,2370
2015-07-12,"Bicicleta",15697,116.95,170,NA,"Giant TCR Composite 2",14959,61.560001373291,NA,861.190002441406,9.80000019073486,-0.0113724786788225,NA,NA,140,NA,NA,3053
2015-09-06,"Bicicleta",10222,64.86,170,NA,"Giant TCR Composite 2",8625,60.479997253418,NA,589.039978027344,10.8000001907349,-0.0201954171061515,NA,NA,140,NA,NA,1680
2014-10-26,"Bicicleta",10731,0,170,NA,"Giant TCR Composite 2",10731,0,NA,0,0,0,NA,NA,140,NA,NA,239
2014-10-19,"Bicicleta",12238,0,170,NA,"Giant TCR Composite 2",12238,0,NA,0,0,0,NA,NA,140,NA,NA,272
2014-04-19,"Bicicleta",13829,75.82,170,NA,"Giant TCR Composite 2",12481,45.7199993133545,NA,209.891662597656,10.5,0.0005275270086713,NA,NA,140,NA,NA,1792
2015-04-02,"Bicicleta",7211,45.58,170,NA,"Giant TCR Composite 2",6587,44.2800006866455,NA,83.4499969482422,4,0,NA,NA,140,NA,NA,1166
2014-05-04,"Bicicleta",15578,114.11,170,NA,"Giant TCR Composite 2",14768,63.360001373291,NA,1184.23999023438,9.69999980926514,-0.0135827893391251,NA,NA,140,NA,NA,2965
2015-04-01,"Bicicleta",7357,49.25,170,NA,"Giant TCR Composite 2",7168,45.360001373291,NA,86.8399963378906,3.20000004768372,0.0014212996466085,NA,NA,140,NA,NA,1259
2014-06-29,"Bicicleta",16055,115.03,170,NA,"Giant TCR Composite 2",14127,75.239998626709,NA,1060.85998535156,10.5,-0.0130399633198976,NA,NA,140,NA,NA,3021
2015-03-01,"Bicicleta",13179,88.36,170,NA,"Giant TCR Composite 2",11504,59.760001373291,NA,781.719970703125,13.3000001907349,0.0001131714598159,NA,NA,140,NA,NA,2309
2014-10-12,"Bicicleta",11451,80.82,170,NA,"Giant TCR Composite 2",10163,66.239998626709,NA,607.140014648438,9.5,-0.016950998455286,NA,NA,140,NA,NA,2086
2015-02-15,"Bicicleta",12316,77.29,170,NA,"Giant TCR Composite 2",9924,60.479997253418,NA,329.122863769531,5.69999980926514,-0.0005174811813049,NA,NA,140,NA,NA,2001
2014-10-05,"Bicicleta",7818,59.58,170,NA,"Giant TCR Composite 2",7305,60.120002746582,NA,372.126678466797,11.1999998092651,0.186790406703949,NA,NA,140,NA,NA,2634
2015-02-22,"Bicicleta",11796,83.31,170,NA,"Giant TCR Composite 2",10033,57.960001373291,NA,467.745727539062,11.1000003814697,0,NA,NA,140,NA,NA,2185
2015-05-24,"Bicicleta",14253,98.59,170,NA,"Giant TCR Composite 2",12336,65.879997253418,NA,746.483337402344,11.1999998092651,-0.0144027769565582,NA,NA,140,NA,NA,2553
2015-04-19,"Bicicleta",13436,100.03,170,NA,"Giant TCR Composite 2",12507,53.639998626709,NA,758.5,10.1000003814697,-0.0140949254855513,NA,NA,140,NA,NA,2639
2015-03-29,"Bicicleta",12687,98.56,170,NA,"Giant TCR Composite 2",11958,56.8800006866455,NA,457.586669921875,11,-0.0130874784663319,NA,NA,140,NA,NA,2662
2015-06-04,"Bicicleta",15222,113.6,170,NA,"Giant TCR Composite 2",14100,62.279997253418,NA,874.619995117188,11.8000001907349,-0.0112673081457614,NA,NA,140,NA,NA,3005
2015-04-12,"Bicicleta",12633,95.25,170,NA,"Giant TCR Composite 2",11914,52.560001373291,NA,825.145690917969,10.1000003814697,-0.0144868660718202,NA,NA,140,NA,NA,2494
2015-05-10,"Bicicleta",16805,124.7,170,NA,"Giant TCR Composite 2",15838,67.320002746582,NA,817.119995117188,10.6000003814697,-0.0102647170424461,NA,NA,140,NA,NA,3288
2014-05-11,"Bicicleta",15049,124.43,170,NA,"Giant TCR Composite 2",14415,71.279997253418,NA,918.386657714844,9.39999961853027,-0.0119739305227994,NA,NA,140,NA,NA,3435
2014-07-06,"Bicicleta",19215,125.25,170,NA,"Giant TCR Composite 2",17520,63,NA,1334.59997558594,9.39999961853027,-0.0104584135115146,NA,NA,140,NA,NA,3200
2018-03-29,"Bicicleta",4210,24.59,170,NA,"Giant TCR Composite 2",4048,44.639998626709,NA,50.6593322753906,5.69999980926514,-0.0004065949760843,NA,NA,140,NA,NA,589
2018-02-11,"Bicicleta",8366,48.91,170,NA,"Giant TCR Composite 2",7163,55.8,NA,472.443878173828,10.3000001907349,0.233045905828476,NA,NA,140,NA,NA,1192
2019-08-13,"Entrenamiento con pesas",4978,0,116,7,"",4978,0,0,NA,0,0,NA,NA,80,NA,NA,157
2019-08-13,"Bicicleta virtual",4200,0,131,13,"Giant TCR Composite 2",4200,0,NA,NA,0,0,NA,NA,120,NA,NA,424
2019-08-14,"Entrenamiento con pesas",4406,0,121,7,"",4406,0,0,NA,0,0,NA,NA,84,NA,NA,169
2019-08-15,"Entrenamiento con pesas",4584,0,108,6,"",4584,0,0,NA,0,0,NA,NA,78,NA,NA,134
2019-08-16,"Entrenamiento con pesas",4580,0,123,9,"",4580,0,0,NA,0,0,NA,NA,94,NA,NA,239
2019-08-16,"Bicicleta virtual",4201,0,138,38,"Giant TCR Composite 2",4201,0,NA,NA,0,0,NA,NA,125,NA,NA,472
2019-08-17,"Entrenamiento con pesas",4733,0,109,6,"",4733,0,0,NA,0,0,NA,NA,78,NA,NA,143
2019-08-18,"Bicicleta",13013,94.12,179,139,"Giant TCR Composite 2",10901,67.320002746582,NA,695,28.6000003814697,-0.0195494275540113,NA,NA,144,NA,NA,1594
2019-08-20,"Entrenamiento con pesas",5789,0,129,10,"",5789,0,0,NA,0,0,NA,NA,90,NA,NA,268
2019-08-20,"Bicicleta virtual",4201,0,130,18,"Giant TCR Composite 2",4201,0,NA,NA,0,0,NA,NA,119,NA,NA,417
2019-08-21,"Entrenamiento con pesas",5812,0,120,8,"",5812,0,0,NA,0,0,NA,NA,80,NA,NA,202
2019-08-22,"Entrenamiento con pesas",5740,0,118,9,"",5740,0,0,NA,0,0,NA,NA,84,NA,NA,216
2019-08-23,"Entrenamiento con pesas",4897,0,112,6,"",4897,0,0,NA,0,0,NA,NA,76,NA,NA,131
2019-08-24,"Entrenamiento con pesas",5077,0,114,8,"",5077,0,0,NA,0,0,NA,NA,84,NA,NA,206
2019-08-25,"Bicicleta",11553,82.86,187,119,"Giant TCR Composite 2",9758,64.439998626709,NA,752,10.5,-0.0082063563168048,NA,NA,144,NA,NA,1476
2019-08-27,"Entrenamiento con pesas",6321,0,114,7,"",6321,0,0,NA,0,0,NA,NA,72,NA,NA,152
2019-08-28,"Entrenamiento con pesas",4746,0,110,6,"",4746,0,0,NA,0,0,NA,NA,80,NA,NA,168
2019-08-29,"Entrenamiento con pesas",4053,0,111,5,"",4053,0,0,NA,0,0,NA,NA,77,NA,NA,124
2019-08-30,"Entrenamiento con pesas",5662,0,128,9,"",5662,0,0,NA,0,0,NA,NA,86,NA,NA,244
2019-08-31,"Entrenamiento con pesas",4960,0,113,6,"",4960,0,0,NA,0,0,NA,NA,76,NA,NA,149
2019-09-01,"Bicicleta",13136,101,177,163,"Giant TCR Composite 2",11694,68.4,NA,904,10.3000001907349,-0.0112863909453153,NA,NA,146,NA,NA,1726
2019-09-02,"Bicicleta virtual",4221,0,138,21,"Giant TCR Composite 2",4221,0,NA,NA,0,0,NA,NA,118,NA,NA,440
2019-09-03,"Entrenamiento con pesas",6518,0,105,9,"",6518,0,0,NA,0,0,NA,NA,80,NA,NA,223
2019-09-04,"Entrenamiento con pesas",4684,0,114,7,"",4684,0,0,NA,0,0,NA,NA,83,NA,NA,192
2019-09-05,"Entrenamiento con pesas",3623,0,103,5,"",3623,0,0,NA,0,0,NA,NA,78,NA,NA,117
2019-09-06,"Entrenamiento con pesas",3690,0,122,6,"",3690,0,0,NA,0,0,NA,NA,88,NA,NA,178
2019-09-07,"Entrenamiento con pesas",2871,0,110,4,"",2871,0,0,NA,0,0,NA,NA,87,NA,NA,135
2019-09-08,"Bicicleta",12024,94.53,181,116,"Giant TCR Composite 2",10890,74.520002746582,NA,787,17.5,-0.0065583828836679,NA,NA,142,NA,NA,1627
2019-09-09,"Bicicleta virtual",2400,0,155,32,"Giant TCR Composite 2",2400,0,NA,NA,0,0,NA,NA,129,NA,NA,334
2019-09-10,"Entrenamiento con pesas",4082,0,118,7,"",4082,0,0,NA,0,0,NA,NA,90,NA,NA,203
2019-09-11,"Entrenamiento con pesas",5413,0,117,9,"",5413,0,0,NA,0,0,NA,NA,90,NA,NA,271
2019-09-12,"Entrenamiento con pesas",4768,0,106,6,"",4768,0,0,NA,0,0,NA,NA,80,NA,NA,166
2019-09-13,"Bicicleta virtual",4201,0,143,42,"Giant TCR Composite 2",4201,0,NA,NA,0,0,NA,NA,126,NA,NA,508
2019-09-14,"Bicicleta virtual",2402,0,143,28,"Giant TCR Composite 2",2402,0,NA,NA,0,0,NA,NA,128,NA,NA,322
2019-09-15,"Bicicleta virtual",4201,0,149,69,"Giant TCR Composite 2",4201,0,NA,NA,0,0,NA,NA,133,NA,NA,600
